Brand,Car Model,Car Name,Car Variant,Car Transmission,KM driven,Owner Type,Fuel Type,Registration ID,Monthly EMI,Car Price,Downpayment Amount,Location
Maruti,2015,Wagon R 1.0 LXI CNG,Wagon R 1.0 LXI CNG,Manual,"29,830 km",1st owner,CNG,MH47-A4031,"₹9,717/month",₹3.69 Lakh,On Zero down payment,Seawood
Maruti,2019,S PRESSO VXI PLUS AMT,S PRESSO VXI PLUS AMT,Automatic,"21,125 km",1st owner,Petrol,MH01-DK4808,"₹9,065/month",₹4.64 Lakh,On Zero down payment,Seawood
Hyundai,2016,Creta SX PLUS 1.6 PETROL,Creta SX PLUS 1.6 PETROL,Manual,"71,684 km",1st owner,Petrol,MH01-CD8985,"₹14,369/month",₹7.35 Lakh,On Zero down payment,"Goregaon, Mumbai"
Honda,2019,City 1.5L I-VTEC VX CVT,City 1.5L I-VTEC VX CVT,Automatic,"54,705 km",1st owner,Petrol,MH01-DE9747,"₹18,235/month",₹9.58 Lakh,On Zero down payment,"Goregaon, Mumbai"
Maruti,2016,Baleno DELTA PETROL 1.2,Baleno DELTA PETROL 1.2,Manual,"43,373 km",1st owner,Petrol,MH47-Q2451,"₹9,814/month",₹5.02 Lakh,On Zero down payment,"Mulund West, Mumbai"
Hyundai,2016,Grand i10 SPORTZ 1.2 KAPPA VTVT,Grand i10 SPORTZ 1.2 KAPPA VTVT,Manual,"59,809 km",2nd owner,Petrol,MH05-CV5645,"₹7,273/month",₹3.72 Lakh,On Zero down payment,Seawood
Maruti,2016,Baleno DELTA PETROL 1.2,Baleno DELTA PETROL 1.2,Manual,"43,273 km",1st owner,Petrol,MH01-CH1712,"₹9,873/month",₹5.05 Lakh,On Zero down payment,"Goregaon, Mumbai"
Hyundai,2017,Creta SX PLUS 1.6 PETROL,Creta SX PLUS 1.6 PETROL,Manual,"47,534 km",2nd owner,Petrol,MH05-DH3208,"₹15,190/month",₹7.77 Lakh,On Zero down payment,"Goregaon, Mumbai"
Skoda,2018,Rapid STYLE 1.6 MPI AT,Rapid STYLE 1.6 MPI AT,Automatic,"49,088 km",1st owner,Petrol,MH01-DE3250,"₹13,490/month",₹6.9 Lakh,On Zero down payment,"Goregaon, Mumbai"
Renault,2016,Kwid RXT 1.0,Kwid RXT 1.0,Manual,"26,728 km",1st owner,Petrol,MH03-CB8212,"₹5,513/month",₹2.82 Lakh,On Zero down payment,"Mulund West, Mumbai"
Hyundai,2017,Verna 1.6 VTVT S AT,Verna 1.6 VTVT S AT,Automatic,"57,376 km",1st owner,Petrol,MH43-BK0324,"₹10,518/month",₹5.38 Lakh,On Zero down payment,"Mulund West, Mumbai"
Honda,2022,Jazz 1.2L I-VTEC VX CVT,Jazz 1.2L I-VTEC VX CVT,Automatic,"4,980 km",1st owner,Petrol,MH03-DX3461,"₹17,797/month",₹9.35 Lakh,On Zero down payment,Seawood
Hyundai,2017,Creta E PLUS 1.6 PETROL,Creta E PLUS 1.6 PETROL,Manual,"23,252 km",2nd owner,Petrol,MH46-BA4361,"₹14,897/month",₹7.62 Lakh,On Zero down payment,"Mulund West, Mumbai"
Tata,2020,ALTROZ XZ PETROL,ALTROZ XZ PETROL,Manual,"11,670 km",1st owner,Petrol,MH02-FJ8657,"₹14,741/month",₹7.54 Lakh,On Zero down payment,"Goregaon, Mumbai"
Hyundai,2017,Creta E PLUS 1.6 PETROL,Creta E PLUS 1.6 PETROL,Manual,"77,926 km",1st owner,Petrol,MH02-EP8050,"₹15,132/month",₹7.74 Lakh,On Zero down payment,"Goregaon, Mumbai"
Maruti,2021,S PRESSO VXI PLUS AMT,S PRESSO VXI PLUS AMT,Automatic,"26,592 km",1st owner,Petrol,MH05-EQ6607,"₹8,837/month",₹4.52 Lakh,On Zero down payment,"Mulund West, Mumbai"
Honda,2015,City 1.5L I-DTEC SV,City 1.5L I-DTEC SV,Manual,"91,712 km",2nd owner,Diesel,MH01-BY2513,"₹10,855/month",₹4.88 Lakh,On Zero down payment,"Goregaon, Mumbai"
Maruti,2016,Alto K10 VXI,Alto K10 VXI,Manual,"58,850 km",1st owner,Petrol,MH05-CV1344,"₹5,376/month",₹2.75 Lakh,On Zero down payment,"Goregaon, Mumbai"
Hyundai,2018,NEW SANTRO SPORTZ AMT,NEW SANTRO SPORTZ AMT,Automatic,"52,080 km",1st owner,Petrol,MH15-GR5322,"₹9,834/month",₹5.03 Lakh,On Zero down payment,"Goregaon, Mumbai"
