Brand,Car Model,Car Name,Car Transmission,KM driven,Owner Type,Fuel Type,Registration ID,Monthly EMI,Car Price,Downpayment Amount,Location,City
Volkswagen,2016,Ameo HIGHLINE1.2L,Manual,11341,1st,Petrol,MH06-BU1049,9462,484000,0,Seawood,Mumbai
Hyundai,2018,Verna 1.6 VTVT SX (O) AT,Automatic,63920,1st,Petrol,MH47-AG0626,15855,833000,0,Seawood,Mumbai
Skoda,2015,Rapid ELEGANCE 1.6 MPI MT,Manual,63084,1st,Petrol,MH02-EE0977,7703,394000,0,Mulund West,Mumbai
Hyundai,2015,Elite i20 SPORTZ 1.2,Manual,63269,2nd,Petrol,MH01-BY6075,7728,395000,0,Mulund West,Mumbai
Skoda,2020,Rapid AMBITION TSI,Manual,22978,1st,Petrol,MH03-DK4913,14448,739000,0,Seawood,Mumbai
Honda,2011,City 1.5L I-VTEC V MT,Manual,90143,2nd,Petrol,MH01-AX8802,12239,260000,0,Mulund West,Mumbai
Hyundai,2020,AURA S 1.2 CNG,Manual,53586,2nd,CNG,MH05-EJ2659,12219,625000,0,Mulund West,Mumbai
Tata,2018,Tiago XZ PETROL,Manual,90317,1st,Petrol,MH14-GY4236,8016,409999,0,Goregaon,Mumbai
Maruti,2022,Dzire ZXI CNG,Manual,33650,1st,CNG,MH43-CC2549,15399,809000,0,Mulund West,Mumbai
Hyundai,2021,AURA SX 1.2 (O),Manual,16365,1st,Petrol,MH46-BZ5422,13470,689000,0,Mulund West,Mumbai
Maruti,2014,Wagon R 1.0 LXI CNG,Manual,69410,2nd,CNG,MH02-DS4516,9533,287000,0,Goregaon,Mumbai
Maruti,2020,Baleno ZETA PETROL 1.2,Manual,14523,2nd,Petrol,MH04-KL4721,12023,615000,0,Goregaon,Mumbai
Honda,2017,City 1.5L I-VTEC VX,Manual,39420,1st,Petrol,MH46-BC6633,14037,718000,0,Goregaon,Mumbai
Maruti,2020,Dzire ZXI PLUS AMT,Manual,55907,2nd,Petrol,MH47-AU4542,11945,611000,0,Mulund West,Mumbai
Hyundai,2016,Elite i20 MAGNA 1.2,Manual,26224,2nd,Petrol,MH05-CV5392,8641,442000,0,Goregaon,Mumbai
Maruti,2017,Baleno ALPHA DIESEL 1.3,Manual,73436,1st,Diesel,MH04-HX5522,11339,580000,0,Seawood,Mumbai
Hyundai,2018,Grand i10 MAGNA U2 1.2 CRDI,Manual,113120,1st,Diesel,MH46-BK6991,9632,433000,0,Mulund West,Mumbai
Skoda,2013,Rapid ACTIVE 1.6 TDI CR MT PLUS,Manual,56954,1st,Diesel,MH02-CW5637,11027,332000,0,Goregaon,Mumbai
Maruti,2016,Swift Dzire VXI,Manual,34315,1st,Petrol,MH05-CV0056,9247,473000,0,Goregaon,Mumbai
